Date,Artist,Title,Playlist,Position,Followers,Image_URL,Cover_Artist
2024-03-01,4batz,act iii: on god? (she like),New Music Friday AU & NZ,48,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,4batz,act iii: on god? (she like),R&B Connect,9,198449,https://i.scdn.co/image/ab67706f000000031873c18d49f70ac328def316,A.GIRL
2024-03-01,Ricki-Lee,I Was Made For Loving You,New Music Friday AU & NZ,49,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"Joyner Lucas, Conway the Machine",Sticks & Stones,New Music Friday AU & NZ,50,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"Joyner Lucas, Conway the Machine",Sticks & Stones,Beats n' Bars,8,95091,https://i.scdn.co/image/ab67706f000000037d15ed6ed6837217b59ca4e4,Schoolboy Q
2024-03-01,"Joyner Lucas, Conway the Machine",Sticks & Stones,The Drip,17,89276,https://i.scdn.co/image/ab67706f00000003475e7a5a312ca6b38d04ae35,Meek Mill
2024-03-01,iann dior,I Think You Should Go,New Music Friday AU & NZ,51,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Chlöe,FYS,New Music Friday AU & NZ,52,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Chlöe,FYS,R&B Connect,6,198449,https://i.scdn.co/image/ab67706f000000031873c18d49f70ac328def316,A.GIRL
2024-03-01,Chlöe,FYS,Pop n' Fresh,31,120680,https://i.scdn.co/image/ab67706f00000003419043fbde52eba2ab2d483f,Sycco
2024-03-01,FLETCHER,Doing Better,New Music Friday AU & NZ,53,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,FLETCHER,Doing Better,Pop n' Fresh,34,120680,https://i.scdn.co/image/ab67706f00000003419043fbde52eba2ab2d483f,Sycco
2024-03-01,Mildlife,Future Life,New Music Friday AU & NZ,54,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Mildlife,Future Life,Indie Arrivals,12,70759,https://i.scdn.co/image/ab67706f0000000317648aec60ba31d85f66b85a,San Cisco
2024-03-01,Good Morning,Excalibur,New Music Friday AU & NZ,55,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Good Morning,Excalibur,Indie Arrivals,11,70759,https://i.scdn.co/image/ab67706f0000000317648aec60ba31d85f66b85a,San Cisco
2024-03-01,Good Morning,Excalibur,Alt Here,21,47872,https://i.scdn.co/image/ab67706f000000033b0354686e7b8ccff95a6fdf,St. Vincent
2024-03-01,Takara,Sin,New Music Friday AU & NZ,56,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,ZPLUTO,Possibilities,New Music Friday AU & NZ,57,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,ZPLUTO,Possibilities,The Drip,28,89276,https://i.scdn.co/image/ab67706f00000003475e7a5a312ca6b38d04ae35,Meek Mill
2024-03-01,"Confidence Man, DJ BORING",Forever 2 (Crush Mix),New Music Friday AU & NZ,58,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
